date;open;High;low;close;volume
30/01/2003;130.600.004.196.167;13.149.999.618.530.200;12.859.999.656.677.200;130.600.004.196.167;9276018
31/01/2003;13.359.999.656.677.200;13.399.999.618.530.200;12.699.999.809.265.100;13.359.999.656.677.200;11143256
03/02/2003;13.470.000.267.028.800;13.579.999.923.706.000;13.25;13.470.000.267.028.800;6744348
04/02/2003;1.334.000.015.258.780;1.365.999.984.741.210;13.289.999.961.853.000;1.334.000.015.258.780;8763364
05/02/2003;13.579.999.923.706.000;13.600.000.381.469.700;13.210.000.038.146.900;13.579.999.923.706.000;7308815
06/02/2003;134.399.995.803.833;13.640.000.343.322.700;13.270.000.457.763.600;134.399.995.803.833;5275414
07/02/2003;12.920.000.076.293.900;13.430.000.305.175.700;12.899.999.618.530.200;12.920.000.076.293.900;7838139
10/02/2003;13.010.000.228.881.800;13.170.000.076.293.900;12.710.000.038.146.900;13.010.000.228.881.800;7019708
11/02/2003;12.949.999.809.265.100;13.380.000.114.440.900;12.880.000.114.440.900;12.949.999.809.265.100;7736590
12/02/2003;12.880.000.114.440.900;12.989.999.771.118.100;12.760.000.228.881.800;12.880.000.114.440.900;7018600
13/02/2003;12.880.000.114.440.900;1.315.999.984.741.210;12.699.999.809.265.100;12.880.000.114.440.900;5303870
14/02/2003;13.100.000.381.469.700;13.239.999.771.118.100;12.949.999.809.265.100;13.100.000.381.469.700;7832604
17/02/2003;13.579.999.923.706.000;13.609.999.656.677.200;13.180.000.305.175.700;13.579.999.923.706.000;5418309
18/02/2003;134.399.995.803.833;13.699.999.809.265.100;1.340.999.984.741.210;134.399.995.803.833;8449242
19/02/2003;12.800.000.190.734.800;13.600.000.381.469.700;12.800.000.190.734.800;12.800.000.190.734.800;32443764
20/02/2003;131.899.995.803.833;131.899.995.803.833;12.880.000.114.440.900;131.899.995.803.833;10532159
21/02/2003;13.020.000.457.763.600;13.140.000.343.322.700;12.920.000.076.293.900;13.020.000.457.763.600;5697592
24/02/2003;1.290.999.984.741.210;13.140.000.343.322.700;1.290.999.984.741.210;1.290.999.984.741.210;5802967
25/02/2003;12.850.000.381.469.700;13.279.999.732.971.100;12.829.999.923.706.000;12.850.000.381.469.700;11572099
26/02/2003;12.859.999.656.677.200;13.100.000.381.469.700;12.829.999.923.706.000;12.859.999.656.677.200;7885379
27/02/2003;13.069.999.694.824.200;13.270.000.457.763.600;1.290.999.984.741.210;13.069.999.694.824.200;7548277
28/02/2003;13.0;13.100.000.381.469.700;12.930.000.305.175.700;13.0;9547072
03/03/2003;1.290.999.984.741.210;13.260.000.228.881.800;1.290.999.984.741.210;1.290.999.984.741.210;5790510
04/03/2003;12.880.000.114.440.900;13.050.000.190.734.800;12.829.999.923.706.000;12.880.000.114.440.900;5673373
05/03/2003;130.600.004.196.167;13.149.999.618.530.200;12.819.999.694.824.200;130.600.004.196.167;12028947
06/03/2003;130.600.004.196.167;131.899.995.803.833;1.290.999.984.741.210;130.600.004.196.167;6017396
07/03/2003;12.729.999.542.236.300;13.130.000.114.440.900;12.729.999.542.236.300;12.729.999.542.236.300;9245270
10/03/2003;12.300.000.190.734.800;12.880.000.114.440.900;1.215.999.984.741.210;12.300.000.190.734.800;21810908
11/03/2003;12.479.999.542.236.300;12.699.999.809.265.100;12.149.999.618.530.200;12.479.999.542.236.300;7636201
12/03/2003;11.989.999.771.118.100;12.670.000.076.293.900;11.960.000.038.146.900;11.989.999.771.118.100;10103175
13/03/2003;12.479.999.542.236.300;12.479.999.542.236.300;11.789.999.961.853.000;12.479.999.542.236.300;7898501
14/03/2003;12.800.000.190.734.800;12.869.999.885.559.000;1.240.999.984.741.210;12.800.000.190.734.800;9982022
17/03/2003;13.199.999.809.265.100;13.550.000.190.734.800;1.240.999.984.741.210;13.199.999.809.265.100;8073575
